id_rota;nome_usuario;latitude;longitude;elevacao;data;hora;cidade;estado;pais;data_carga_banco
11187035;TOYOTA_RAV4_HYBRID_2019;43.57562698423863;41.10220396891236;1891.4;2023-05-20;07:21:57;Зеленчукский район;RU-KC;RU;2023-11-19
11187035;TOYOTA_RAV4_HYBRID_2019;43.57565397396684;41.10185695812106;1893.0;2023-05-20;07:21:59;Зеленчукский район;RU-KC;RU;2023-11-19
11187035;TOYOTA_RAV4_HYBRID_2019;43.57566797174513;41.10152503475547;1897.5;2023-05-20;07:22:01;Зеленчукский район;RU-KC;RU;2023-11-19
11187035;TOYOTA_RAV4_HYBRID_2019;43.57568297535181;41.10135396011174;1898.3;2023-05-20;07:22:02;Зеленчукский район;RU-KC;RU;2023-11-19
11187035;TOYOTA_RAV4_HYBRID_2019;43.57570895925164;41.1010279878974;1899.9;2023-05-20;07:22:04;Зеленчукский район;RU-KC;RU;2023-11-19
11187035;TOYOTA_RAV4_HYBRID_2019;43.57572798617184;41.10071500763297;1902.2;2023-05-20;07:22:06;Зеленчукский район;RU-KC;RU;2023-11-19
11187035;TOYOTA_RAV4_HYBRID_2019;43.57573997229338;41.10055600292981;1902.6;2023-05-20;07:22:07;Зеленчукский район;RU-KC;RU;2023-11-19
11187035;TOYOTA_RAV4_HYBRID_2019;43.57576201669872;41.10024402849376;1905.9;2023-05-20;07:22:09;Зеленчукский район;RU-KC;RU;2023-11-19
11187035;TOYOTA_RAV4_HYBRID_2019;43.57577500864864;41.10008401796222;1907.9;2023-05-20;07:22:10;Зеленчукский район;RU-KC;RU;2023-11-19
11187035;TOYOTA_RAV4_HYBRID_2019;43.57580099254847;41.0997739713639;1911.8;2023-05-20;07:22:12;Зеленчукский район;RU-KC;RU;2023-11-19
11187035;TOYOTA_RAV4_HYBRID_2019;43.575820019468665;41.099479012191296;1914.9;2023-05-20;07:22:14;Зеленчукский район;RU-KC;RU;2023-11-19
11187035;TOYOTA_RAV4_HYBRID_2019;43.57584902085364;41.09920199029148;1916.4;2023-05-20;07:22:16;Зеленчукский район;RU-KC;RU;2023-11-19
11187035;TOYOTA_RAV4_HYBRID_2019;43.57586603611708;41.099068969488144;1916.7;2023-05-20;07:22:17;Зеленчукский район;RU-KC;RU;2023-11-19
11187035;TOYOTA_RAV4_HYBRID_2019;43.57589000836015;41.098937038332224;1918.0;2023-05-20;07:22:18;Зеленчукский район;RU-KC;RU;2023-11-19
11187035;TOYOTA_RAV4_HYBRID_2019;43.575948011130095;41.09868600033224;1920.3;2023-05-20;07:22:20;Зеленчукский район;RU-KC;RU;2023-11-19
11187035;TOYOTA_RAV4_HYBRID_2019;43.5759889986366;41.09856898896396;1920.9;2023-05-20;07:22:21;Зеленчукский район;RU-KC;RU;2023-11-19
11187035;TOYOTA_RAV4_HYBRID_2019;43.57606896199286;41.09834896400571;1923.4;2023-05-20;07:22:23;Зеленчукский район;RU-KC;RU;2023-11-19
11187035;TOYOTA_RAV4_HYBRID_2019;43.5761050041765;41.0982529912144;1924.6;2023-05-20;07:22:24;Зеленчукский район;RU-KC;RU;2023-11-19
11187035;TOYOTA_RAV4_HYBRID_2019;43.576143980026245;41.0981610417366;1925.3;2023-05-20;07:22:25;Зеленчукский район;RU-KC;RU;2023-11-19
11187035;TOYOTA_RAV4_HYBRID_2019;43.57623601332307;41.09798301011324;1926.0;2023-05-20;07:22:27;Зеленчукский район;RU-KC;RU;2023-11-19
11187035;TOYOTA_RAV4_HYBRID_2019;43.57634003274143;41.0978140309453;1927.5;2023-05-20;07:22:29;Зеленчукский район;RU-KC;RU;2023-11-19
11187035;TOYOTA_RAV4_HYBRID_2019;43.576397029682994;41.097726020962;1928.4;2023-05-20;07:22:30;Зеленчукский район;RU-KC;RU;2023-11-19
11187035;TOYOTA_RAV4_HYBRID_2019;43.57651798054576;41.09755100682378;1929.9;2023-05-20;07:22:32;Зеленчукский район;RU-KC;RU;2023-11-19
11187035;TOYOTA_RAV4_HYBRID_2019;43.57657900080085;41.09746098518372;1931.5;2023-05-20;07:22:33;Зеленчукский район;RU-KC;RU;2023-11-19
11187035;TOYOTA_RAV4_HYBRID_2019;43.57664002105594;41.09737599268556;1933.3;2023-05-20;07:22:34;Зеленчукский район;RU-KC;RU;2023-11-19
11187035;TOYOTA_RAV4_HYBRID_2019;43.57670196332037;41.09728496521711;1934.2;2023-05-20;07:22:35;Зеленчукский район;RU-KC;RU;2023-11-19
11187035;TOYOTA_RAV4_HYBRID_2019;43.57682098634541;41.097095031291246;1936.4;2023-05-20;07:22:37;Зеленчукский район;RU-KC;RU;2023-11-19
11187035;TOYOTA_RAV4_HYBRID_2019;43.57687898911536;41.09699604101479;1937.8;2023-05-20;07:22:38;Зеленчукский район;RU-KC;RU;2023-11-19
11187035;TOYOTA_RAV4_HYBRID_2019;43.57694101519883;41.0968969669193;1938.7;2023-05-20;07:22:39;Зеленчукский район;RU-KC;RU;2023-11-19
11187035;TOYOTA_RAV4_HYBRID_2019;43.5770720243454;41.096708038821816;1939.6;2023-05-20;07:22:41;Зеленчукский район;RU-KC;RU;2023-11-19
11187035;TOYOTA_RAV4_HYBRID_2019;43.57720202766359;41.09651802107692;1939.9;2023-05-20;07:22:43;Зеленчукский район;RU-KC;RU;2023-11-19
11187035;TOYOTA_RAV4_HYBRID_2019;43.57732800766826;41.096319034695625;1941.9;2023-05-20;07:22:45;Зеленчукский район;RU-KC;RU;2023-11-19
11187035;TOYOTA_RAV4_HYBRID_2019;43.57745197601616;41.09611803665757;1944.5;2023-05-20;07:22:47;Зеленчукский район;RU-KC;RU;2023-11-19
11187035;TOYOTA_RAV4_HYBRID_2019;43.57751802541316;41.09601401723921;1946.2;2023-05-20;07:22:48;Зеленчукский район;RU-KC;RU;2023-11-19
11187035;TOYOTA_RAV4_HYBRID_2019;43.57763897627592;41.095802038908005;1949.5;2023-05-20;07:22:50;Зеленчукский район;RU-KC;RU;2023-11-19
11187035;TOYOTA_RAV4_HYBRID_2019;43.57768700458109;41.09568796120584;1950.5;2023-05-20;07:22:51;Зеленчукский район;RU-KC;RU;2023-11-19
11187035;TOYOTA_RAV4_HYBRID_2019;43.57774500735104;41.09545100480318;1952.2;2023-05-20;07:22:53;Зеленчукский район;RU-KC;RU;2023-11-19
11187035;TOYOTA_RAV4_HYBRID_2019;43.577754981815815;41.09519502148032;1953.7;2023-05-20;07:22:55;Зеленчукский район;RU-KC;RU;2023-11-19
11187035;TOYOTA_RAV4_HYBRID_2019;43.57773100957274;41.09506602399051;1954.8;2023-05-20;07:22:56;Зеленчукский район;RU-KC;RU;2023-11-19
11187035;TOYOTA_RAV4_HYBRID_2019;43.57762699015439;41.094838036224246;1957.1;2023-05-20;07:22:58;Зеленчукский район;RU-KC;RU;2023-11-19
11187035;TOYOTA_RAV4_HYBRID_2019;43.57748198322952;41.09467199072242;1957.7;2023-05-20;07:23:00;Зеленчукский район;RU-KC;RU;2023-11-19
11187035;TOYOTA_RAV4_HYBRID_2019;43.5774000082165;41.09461197629571;1958.4;2023-05-20;07:23:01;Зеленчукский район;RU-KC;RU;2023-11-19
11187035;TOYOTA_RAV4_HYBRID_2019;43.57730898074806;41.0945709887892;1959.3;2023-05-20;07:23:02;Зеленчукский район;RU-KC;RU;2023-11-19
