id;username;latitude;longitude;elevacao;data;hora
9781892;HONDA_ACCORD_2018;24.8973714;121.1396346;214.256;2023-08-29;00:34:24
9781892;HONDA_ACCORD_2018;24.8973654;121.1396128;214.281;2023-08-29;00:34:24
9781892;HONDA_ACCORD_2018;24.8973597;121.1395911;214.299;2023-08-29;00:34:24
9781892;HONDA_ACCORD_2018;24.8973539;121.1395691;214.328;2023-08-29;00:34:24
9781892;HONDA_ACCORD_2018;24.8973479;121.1395475;214.329;2023-08-29;00:34:25
9781892;HONDA_ACCORD_2018;24.8973419;121.1395257;214.345;2023-08-29;00:34:25
9781892;HONDA_ACCORD_2018;24.8973358;121.1395037;214.419;2023-08-29;00:34:25
9781892;HONDA_ACCORD_2018;24.8973297;121.1394818;214.423;2023-08-29;00:34:25
9781892;HONDA_ACCORD_2018;24.8973236;121.1394599;214.464;2023-08-29;00:34:25
9781892;HONDA_ACCORD_2018;24.8973178;121.139438;214.472;2023-08-29;00:34:25
9781892;HONDA_ACCORD_2018;24.8973117;121.139416;214.507;2023-08-29;00:34:25
9781892;HONDA_ACCORD_2018;24.8973058;121.139394;214.509;2023-08-29;00:34:25
9781892;HONDA_ACCORD_2018;24.8972998;121.1393719;214.55;2023-08-29;00:34:25
9781892;HONDA_ACCORD_2018;24.8972939;121.13935;214.536;2023-08-29;00:34:25
9781892;HONDA_ACCORD_2018;24.8972819;121.1393059;214.565;2023-08-29;00:34:26
9781892;HONDA_ACCORD_2018;24.897276;121.1392838;214.547;2023-08-29;00:34:26
9781892;HONDA_ACCORD_2018;24.89727;121.1392617;214.575;2023-08-29;00:34:26
9781892;HONDA_ACCORD_2018;24.897264;121.1392396;214.581;2023-08-29;00:34:26
9781892;HONDA_ACCORD_2018;24.8972518;121.1391954;214.598;2023-08-29;00:34:26
9781892;HONDA_ACCORD_2018;24.8972397;121.1391509;214.609;2023-08-29;00:34:26
9781892;HONDA_ACCORD_2018;24.8972275;121.1391066;214.625;2023-08-29;00:34:27
9781892;HONDA_ACCORD_2018;24.8972214;121.1390843;214.641;2023-08-29;00:34:27
9781892;HONDA_ACCORD_2018;24.8972154;121.139062;214.667;2023-08-29;00:34:27
9781892;HONDA_ACCORD_2018;24.8972032;121.1390175;214.696;2023-08-29;00:34:27
9781892;HONDA_ACCORD_2018;24.897191;121.1389729;214.698;2023-08-29;00:34:27
9781892;HONDA_ACCORD_2018;24.8971787;121.1389281;214.715;2023-08-29;00:34:27
9781892;HONDA_ACCORD_2018;24.8971726;121.1389057;214.7;2023-08-29;00:34:27
9781892;HONDA_ACCORD_2018;24.8971603;121.1388608;214.734;2023-08-29;00:34:28
9781892;HONDA_ACCORD_2018;24.8971479;121.1388159;214.757;2023-08-29;00:34:28
9781892;HONDA_ACCORD_2018;24.8971357;121.1387709;214.761;2023-08-29;00:34:28
9781892;HONDA_ACCORD_2018;24.8971296;121.1387485;214.784;2023-08-29;00:34:28
9781892;HONDA_ACCORD_2018;24.8971175;121.1387036;214.799;2023-08-29;00:34:28
9781892;HONDA_ACCORD_2018;24.8971053;121.1386588;214.808;2023-08-29;00:34:29
9781892;HONDA_ACCORD_2018;24.897093;121.1386139;214.836;2023-08-29;00:34:29
9781892;HONDA_ACCORD_2018;24.8970869;121.1385915;214.886;2023-08-29;00:34:29
9781892;HONDA_ACCORD_2018;24.8970748;121.1385467;214.925;2023-08-29;00:34:29
9781892;HONDA_ACCORD_2018;24.8970628;121.138502;214.958;2023-08-29;00:34:29
9781892;HONDA_ACCORD_2018;24.8970568;121.1384795;214.94;2023-08-29;00:34:29
9781892;HONDA_ACCORD_2018;24.8970505;121.1384573;214.944;2023-08-29;00:34:29
9781892;HONDA_ACCORD_2018;24.8970384;121.1384125;214.976;2023-08-29;00:34:30
9781892;HONDA_ACCORD_2018;24.8970263;121.138368;215.025;2023-08-29;00:34:30
9781892;HONDA_ACCORD_2018;24.8970204;121.1383457;215.049;2023-08-29;00:34:30
9781892;HONDA_ACCORD_2018;24.8970143;121.1383236;215.092;2023-08-29;00:34:30
9781892;HONDA_ACCORD_2018;24.8970084;121.1383014;215.097;2023-08-29;00:34:30
9781892;HONDA_ACCORD_2018;24.8970026;121.1382792;215.143;2023-08-29;00:34:30
9781892;HONDA_ACCORD_2018;24.8969965;121.1382572;215.088;2023-08-29;00:34:30
9781892;HONDA_ACCORD_2018;24.8969849;121.1382129;215.138;2023-08-29;00:34:31
9781892;HONDA_ACCORD_2018;24.896979;121.138191;215.164;2023-08-29;00:34:31
9781892;HONDA_ACCORD_2018;24.896973;121.1381689;215.197;2023-08-29;00:34:31
9781892;HONDA_ACCORD_2018;24.8969672;121.1381468;215.204;2023-08-29;00:34:31
9781892;HONDA_ACCORD_2018;24.8969554;121.1381028;215.261;2023-08-29;00:34:31
9781892;HONDA_ACCORD_2018;24.8969493;121.1380809;215.257;2023-08-29;00:34:31
9781892;HONDA_ACCORD_2018;24.8969435;121.1380589;215.265;2023-08-29;00:34:31
9781892;HONDA_ACCORD_2018;24.8969376;121.1380369;215.276;2023-08-29;00:34:31
9781892;HONDA_ACCORD_2018;24.8969317;121.138015;215.294;2023-08-29;00:34:31
9781892;HONDA_ACCORD_2018;24.8969201;121.1379709;215.289;2023-08-29;00:34:32
9781892;HONDA_ACCORD_2018;24.8969142;121.137949;215.307;2023-08-29;00:34:32
9781892;HONDA_ACCORD_2018;24.8969081;121.1379271;215.363;2023-08-29;00:34:32
9781892;HONDA_ACCORD_2018;24.8969021;121.1379051;215.368;2023-08-29;00:34:32
9781892;HONDA_ACCORD_2018;24.896896;121.1378832;215.376;2023-08-29;00:34:32
9781892;HONDA_ACCORD_2018;24.8968898;121.1378612;215.401;2023-08-29;00:34:32
9781892;HONDA_ACCORD_2018;24.8968837;121.1378391;215.427;2023-08-29;00:34:32
9781892;HONDA_ACCORD_2018;24.8968778;121.137817;215.428;2023-08-29;00:34:32
9781892;HONDA_ACCORD_2018;24.8968659;121.1377728;215.45;2023-08-29;00:34:33
9781892;HONDA_ACCORD_2018;24.8968596;121.1377508;215.445;2023-08-29;00:34:33
9781892;HONDA_ACCORD_2018;24.8968536;121.1377286;215.461;2023-08-29;00:34:33
9781892;HONDA_ACCORD_2018;24.8968475;121.1377065;215.46;2023-08-29;00:34:33
9781892;HONDA_ACCORD_2018;24.8968415;121.1376842;215.478;2023-08-29;00:34:33
9781892;HONDA_ACCORD_2018;24.8968353;121.137662;215.436;2023-08-29;00:34:33
9781892;HONDA_ACCORD_2018;24.8968293;121.1376397;215.458;2023-08-29;00:34:33
9781892;HONDA_ACCORD_2018;24.8968232;121.1376174;215.472;2023-08-29;00:34:33
9781892;HONDA_ACCORD_2018;24.8968171;121.1375952;215.465;2023-08-29;00:34:33
9781892;HONDA_ACCORD_2018;24.8968111;121.1375728;215.491;2023-08-29;00:34:33
9781892;HONDA_ACCORD_2018;24.8968049;121.1375504;215.503;2023-08-29;00:34:34
9781892;HONDA_ACCORD_2018;24.8967928;121.1375054;215.507;2023-08-29;00:34:34
9781892;HONDA_ACCORD_2018;24.8967868;121.1374828;215.528;2023-08-29;00:34:34
9781892;HONDA_ACCORD_2018;24.8967807;121.1374602;215.53;2023-08-29;00:34:34
9781892;HONDA_ACCORD_2018;24.8967745;121.1374377;215.503;2023-08-29;00:34:34
9781892;HONDA_ACCORD_2018;24.8967685;121.1374149;215.519;2023-08-29;00:34:34
9781892;HONDA_ACCORD_2018;24.8967622;121.1373924;215.547;2023-08-29;00:34:34
9781892;HONDA_ACCORD_2018;24.896756;121.1373696;215.56;2023-08-29;00:34:34
9781892;HONDA_ACCORD_2018;24.8967499;121.1373467;215.594;2023-08-29;00:34:34
9781892;HONDA_ACCORD_2018;24.8967437;121.1373239;215.59;2023-08-29;00:34:35
9781892;HONDA_ACCORD_2018;24.8967375;121.1373011;215.629;2023-08-29;00:34:35
9781892;HONDA_ACCORD_2018;24.8967313;121.1372783;215.625;2023-08-29;00:34:35
9781892;HONDA_ACCORD_2018;24.8967253;121.1372553;215.645;2023-08-29;00:34:35
9781892;HONDA_ACCORD_2018;24.8967191;121.1372323;215.663;2023-08-29;00:34:35
9781892;HONDA_ACCORD_2018;24.8967129;121.1372094;215.691;2023-08-29;00:34:35
9781892;HONDA_ACCORD_2018;24.8967068;121.1371864;215.692;2023-08-29;00:34:35
9781892;HONDA_ACCORD_2018;24.8967005;121.1371634;215.726;2023-08-29;00:34:35
9781892;HONDA_ACCORD_2018;24.8966944;121.1371404;215.734;2023-08-29;00:34:35
9781892;HONDA_ACCORD_2018;24.8966883;121.1371175;215.733;2023-08-29;00:34:35
9781892;HONDA_ACCORD_2018;24.896676;121.1370716;215.748;2023-08-29;00:34:36
9781892;HONDA_ACCORD_2018;24.8966697;121.1370486;215.746;2023-08-29;00:34:36
9781892;HONDA_ACCORD_2018;24.8966636;121.1370255;215.754;2023-08-29;00:34:36
9781892;HONDA_ACCORD_2018;24.8966575;121.1370025;215.762;2023-08-29;00:34:36
9781892;HONDA_ACCORD_2018;24.8966513;121.1369794;215.791;2023-08-29;00:34:36
9781892;HONDA_ACCORD_2018;24.896645;121.1369565;215.827;2023-08-29;00:34:36
9781892;HONDA_ACCORD_2018;24.8966389;121.1369334;215.84;2023-08-29;00:34:36
